practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,key_resp_5.keys,key_resp_5.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,IRI_13,IRI_FL_13,space_13,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,keyResponsePreStart.keys,keyResponsePreStart.rt,key_resp_2.keys,key_resp_4.keys,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,key_resp_4.rt,rest_keyresponse.keys,rest_keyresponse.rt,IRI_20,IRI_FL_20,space_20,participant,session,group,level,date,expName,frameRate,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.30582294502528384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,1,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.3224767000065185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,2,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.33912057196721435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
incongruent_left,f,0,Sometimes they'll be short,All sentences are the same.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,3,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.40557848202297464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,4,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.3193311379873194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,5,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.4060534280142747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.27133057004539296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,1,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.40366210701176897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
incongruent_left,f,0,Sometimes they'll be short,All sentences are the same.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,2,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4062720920192078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,3,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.372443989966996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,4,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4051611350150779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,5,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.32277065998641774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,20.472530084021855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.889118062972557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2247243500314653,0.8362565890420228,0.8237928500166163,0.8362565890420228,0.5842609649989754,0.5556804549996741,1.4205175540409982,0.5185928849969059,0.4855078919790685,1.9391104390379041,0.43418602499878034,0.4058468900038861,2.3732964640366845,0.43461574998218566,0.4070573119679466,2.80791221401887,0.38490158499917015,0.35634457296691835,3.1928137990180403,0.4170330300112255,0.38961520994780585,3.609846829029266,0.4344391149934381,0.4039028979605064,4.044285944022704,0.4346596850082278,0.4051719050039537,4.478945629030932,0.3843010949785821,0.35565016994951293,4.863246724009514,0.4015004980028607,0.36805444495985284,5.2647472220123746,0.384185872040689,0.3517694619949907,5.6489330940530635,0.48445941298268735,0.45546336501138285,6.133392507035751,f,1,2.4774103019735776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6953084170236252,0.6833484719973058,0.6953084170236252,0.6177509980043396,0.5891450679628178,1.3130594150279649,0.5340401529683731,0.5039435880025849,1.847099567996338,0.6022820920334198,0.5738112910185009,2.4493816600297578,0.534992492001038,0.5065579580259509,2.984374152030796,0.5339767159894109,0.5026673339889385,3.5183508680202067,,,,,,,,,,,,,,,,,,,,,,f,1,2.1263373849797063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
incongruent_left,f,0,Sometimes they'll be short,All sentences are the same.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4285546730388887,0.4189462149515748,0.4285546730388887,0.4176463119802065,0.3886647229664959,0.8462009850190952,0.41725257301004604,0.3887665279908106,1.2634535580291413,0.3671889220131561,0.3368416180019267,1.6306424800422974,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,2.111408226948697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6117123499861918,0.599558360001538,0.6117123499861918,0.4176429249928333,0.3902438200311735,1.0293552749790251,0.41750455502187833,0.3884949400089681,1.4468598300009035,0.35034280497347936,0.32208979298593476,1.7972026349743828,0.3510970630450174,0.3218549399753101,2.1482996980194002,0.4184012319892645,0.38864400004968047,2.5667009300086647,0.29986191797070205,0.271836967964191,2.866562847979367,0.33415139198768884,0.30584849300794303,3.2007142399670556,0.35214502504095435,0.3234671659884043,3.55285926500801,0.3335711979889311,0.30476013699080795,3.886430462996941,0.4183241070131771,0.3894227849668823,4.304754570010118,0.41775960999075323,0.38621581200277433,4.722514180000871,0.31641387997660786,0.2881227830075659,5.038928059977479,j,1,2.0897698600310832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564657051989343,0.5484054870321415,0.564657051989343,0.3519731580163352,0.3227661869605072,0.9166302100056782,0.3835022549610585,0.35064909799257293,1.3001324649667367,0.35055571200791746,0.3212917430209927,1.6506881769746542,0.3344119780231267,0.3041431169840507,1.985100154997781,0.36841507197823375,0.3392170080333017,2.3535152269760147,0.36657857499085367,0.33349551603896543,2.7200938019668683,0.3182750580017455,0.28811029001371935,3.038368859968614,0.3672345770173706,0.3381352929864079,3.4056034369859844,0.33507274801377207,0.30615976004628465,3.7406761849997565,0.3836467299843207,0.35485455696471035,4.124322914984077,0.4853978820028715,0.4553497330052778,4.609720796986949,0.3337455230066553,0.30585576401790604,4.943466319993604,f,1,1.5545597820309922,0.40110483998432755,0.37252441997407004,5.3445711599779315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41509545501321554,0.40479627903550863,0.41509545501321554,0.4006832849700004,0.36786812799982727,0.8157787399832159,0.3684077999787405,0.33892068499699235,1.1841865399619564,0.36670972005231306,0.3377547399722971,1.5508962600142695,0.3513166749617085,0.3049383850302547,1.902212934975978,0.35103399003855884,0.3222275919979438,2.253246925014537,0.5844046519487165,0.5561480380129069,2.8376515769632533,0.3000596020137891,0.26751997898099944,3.1377111789770424,0.384990546037443,0.35234698199201375,3.5227017250144854,0.3181246499880217,0.2848103719879873,3.840826375002507,0.3344469599542208,0.2859248240129091,4.175273334956728,0.31659807602409273,0.2709313979721628,4.491871410980821,0.3008804590208456,0.2706660609692335,4.792751870001666,j,1,1.8427660779561847,0.28422594198491424,0.2556672689970583,5.0769778119865805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,33.70165773801273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
